Servo Input, Measured T Pass
1350, 19
1351, 16
1352, 16
1353, 14
1354, 15
1355, 14
1356, 15
1357, 15
1358, 15
1359, 14
1360, 14
1361, 15
1362, 14
1363, 15
1364, 16
1365, 17
1366, 16
1367, 18
1368, 18
1369, 17
1370, 17
1371, 18
1372, 17
1373, 16
1374, 17
1375, 17
1376, 16
1377, 17
1378, 16
1379, 16
1380, 16
1381, 17
1382, 16
1383, 16
1384, 16
1385, 16
1386, 16
1387, 14
1388, 15
1389, 15
1390, 15
1391, 14
1392, 15
1393, 15
1394, 14
1395, 16
1396, 17
1397, 17
1398, 17
1399, 17
1400, 18
1401, 19
1402, 18
1403, 19
1404, 18
1405, 19
1406, 19
1407, 19
1408, 18
1409, 19
1410, 19
1411, 19
1412, 19
1413, 19
1414, 17
1415, 17
1416, 17
1417, 17
1418, 17
1419, 16
1420, 16
1421, 17
1422, 17
1423, 18
1424, 19
1425, 19
1426, 18
1427, 19
1428, 21
1429, 24
1430, 23
1431, 22
1432, 23
1433, 24
1434, 24
1435, 24
1436, 25
1437, 24
1438, 26
1439, 26
1440, 28
1441, 27
1442, 29
1443, 29
1444, 29
1445, 28
1446, 29
1447, 30
1448, 28
1449, 29
1450, 30
1451, 29
1452, 32
1453, 32
1454, 33
1455, 34
1456, 35
1457, 38
1458, 39
1459, 41
1460, 47
1461, 49
1462, 51
1463, 57
1464, 58
1465, 66
1466, 62
1467, 69
1468, 70
1469, 74
1470, 79
1471, 83
1472, 92
1473, 91
1474, 85
1475, 99
1476, 107
1506, 96
1507, 87
1508, 84
1509, 74
1510, 75
1511, 70
1512, 63
1513, 60
1514, 59
1515, 56
1516, 55
1517, 52
1518, 49
1519, 46
1520, 44
1521, 44
1522, 40
1523, 38
1524, 35
1525, 33
1526, 31
1527, 30
1528, 31
1529, 29
1530, 28
1531, 28
1532, 27
1533, 27
1534, 26
1535, 27
1536, 26
1537, 25
1538, 27
1539, 26
1540, 26
1541, 26
1542, 24
1543, 25
1544, 23
1545, 25
1546, 24
1547, 22
1548, 23
1549, 23
1550, 23
