Servo Input, Measured T Pass
1000, 29
1001, 20
1002, 19
1003, 17
1004, 17
1005, 17
1006, 17
1007, 17
1008, 16
1009, 15
1010, 16
1011, 17
1012, 17
1013, 16
1014, 17
1015, 17
1016, 17
1017, 18
1018, 18
1019, 18
1020, 19
1021, 19
1022, 19
1023, 18
1024, 18
1025, 18
1026, 18
1027, 18
1028, 19
1029, 18
1030, 18
1031, 18
1032, 18
1033, 18
1034, 18
1035, 17
1036, 16
1037, 16
1038, 16
1039, 16
1040, 16
1041, 15
1042, 16
1043, 17
1044, 16
1045, 16
1046, 17
1047, 16
1048, 17
1049, 18
1050, 18
1051, 19
1052, 19
1053, 18
1054, 19
1055, 18
1056, 18
1057, 19
1058, 18
1059, 18
1060, 18
1061, 18
1062, 18
1063, 18
1064, 18
1065, 18
1066, 17
1067, 16
1068, 17
1069, 16
1070, 16
1071, 16
1072, 16
1073, 16
1074, 16
1075, 16
1076, 16
1077, 16
1078, 17
1079, 16
1080, 17
1081, 18
1082, 19
1083, 18
1084, 18
1085, 19
1086, 19
1087, 18
1088, 18
1089, 19
1090, 18
1091, 18
1092, 18
1093, 18
1094, 18
1095, 18
1096, 18
1097, 17
1098, 17
1099, 17
1100, 17
1101, 17
1102, 16
1103, 16
1104, 16
1105, 16
1106, 16
1107, 16
1108, 16
1109, 16
1110, 16
1111, 16
1112, 17
1113, 18
1114, 18
1115, 18
1116, 19
1117, 18
1118, 19
1119, 19
1120, 18
1121, 18
1122, 18
1123, 17
1124, 18
1125, 19
1126, 18
1127, 18
1128, 18
1129, 18
1130, 18
1131, 17
1132, 17
1133, 16
1134, 16
1135, 17
1136, 17
1137, 16
1138, 16
1139, 17
1140, 16
1141, 17
1142, 17
1143, 16
1144, 17
1145, 18
1146, 19
1147, 18
1148, 19
1149, 18
1150, 19
1151, 18
1152, 18
1153, 18
1154, 18
1155, 18
1156, 18
1157, 19
1158, 18
1159, 17
1160, 18
1161, 18
1162, 18
1163, 16
1164, 17
1165, 16
1166, 16
1167, 16
1168, 16
1169, 16
1170, 16
1171, 17
1172, 16
1173, 17
1174, 17
1175, 16
1176, 18
1177, 18
1178, 18
1179, 18
1180, 19
1181, 18
1182, 19
1183, 19
1184, 18
1185, 18
1186, 18
1187, 18
1188, 18
1189, 18
1190, 18
1191, 18
1192, 18
1193, 17
1194, 17
1195, 17
1196, 17
1197, 17
1198, 16
1199, 16
1200, 15
1201, 16
1202, 16
1203, 16
1204, 17
1205, 17
1206, 17
1207, 17
1208, 17
1209, 18
1210, 18
1211, 18
1212, 19
1213, 17
1214, 20
1215, 19
1216, 18
1217, 18
1218, 18
1219, 18
1220, 18
1221, 18
1222, 18
1223, 18
1224, 18
1225, 18
1226, 18
1227, 17
1228, 17
1229, 16
1230, 16
1231, 16
1232, 16
1233, 16
1234, 16
1235, 16
1236, 17
1237, 16
1238, 16
1239, 17
1240, 17
1241, 18
1242, 18
1243, 18
1244, 19
1245, 18
1246, 20
1247, 19
1248, 18
1249, 18
1250, 17
1251, 18
1252, 18
1253, 19
1254, 18
1255, 17
1256, 18
1257, 19
1258, 18
1259, 17
1260, 17
1261, 16
1262, 17
1263, 17
1264, 16
1265, 16
1266, 16
1267, 16
1268, 17
1269, 17
1270, 17
1271, 17
1272, 17
1273, 18
1274, 18
1275, 19
1276, 19
1277, 18
1278, 19
1279, 19
1280, 18
1281, 17
1282, 18
1283, 18
1284, 18
1285, 18
1286, 18
1287, 18
1288, 18
1289, 18
1290, 17
1291, 17
1292, 17
1293, 17
1294, 17
1295, 16
1296, 16
1297, 16
1298, 15
1299, 16
1300, 17
1301, 16
1302, 16
1303, 16
1304, 17
1305, 18
1306, 18
1307, 19
1308, 19
1309, 18
1310, 19
1311, 18
1312, 18
1313, 17
1314, 18
1315, 18
1316, 18
1317, 18
1318, 18
1319, 19
1320, 18
1321, 18
1322, 18
1323, 17
1324, 17
1325, 17
1326, 17
1327, 17
1328, 16
1329, 16
1330, 16
1331, 16
1332, 17
1333, 16
1334, 16
1335, 16
1336, 17
1337, 18
1338, 18
1339, 18
1340, 19
1341, 18
1342, 19
1343, 19
1344, 18
1345, 18
1346, 18
1347, 18
1348, 18
1349, 18
1350, 19
1351, 18
1352, 18
1353, 18
1354, 18
1355, 16
1356, 17
1357, 17
1358, 17
1359, 17
1360, 17
1361, 17
1362, 16
1363, 16
1364, 17
1365, 17
1366, 17
1367, 17
1368, 18
1369, 18
1370, 19
1371, 19
1372, 19
1373, 18
1374, 19
1375, 19
1376, 19
1377, 19
1378, 19
1379, 19
1380, 18
1381, 19
1382, 19
1383, 18
1384, 18
1385, 19
1386, 18
1387, 17
1388, 17
1389, 18
1390, 17
1391, 17
1392, 17
1393, 17
1394, 17
1395, 17
1396, 18
1397, 17
1398, 17
1399, 17
1400, 18
1401, 20
1402, 20
1403, 20
1404, 21
1405, 19
1406, 20
1407, 21
1408, 20
1409, 20
1410, 19
1411, 20
1412, 20
1413, 20
1414, 21
1415, 20
1416, 19
1417, 21
1418, 20
1419, 19
1420, 19
1421, 20
1422, 20
1423, 20
1424, 20
1425, 19
1426, 20
1427, 20
1428, 21
1429, 21
1430, 20
1431, 21
1432, 22
1433, 24
1434, 24
1435, 26
1436, 27
1437, 25
1438, 27
1439, 28
1440, 27
1441, 27
1442, 29
1443, 28
1444, 29
1445, 29
1446, 32
1447, 31
1448, 31
1449, 32
1450, 33
1451, 31
1452, 32
1453, 33
1454, 34
1455, 35
1456, 33
1457, 36
1458, 38
1459, 38
1460, 42
1461, 41
1462, 43
1463, 47
1464, 50
1465, 55
1466, 57
1467, 63
1468, 66
1469, 66
1470, 71
1471, 78
1472, 77
1473, 85
1474, 91
1475, 103
1476, 107
1506, 148
1507, 135
1508, 114
1509, 113
1510, 102
1511, 93
1512, 85
1513, 77
1514, 82
1515, 72
1516, 65
1517, 67
1518, 56
1519, 51
1520, 49
1521, 48
1522, 47
1523, 43
1524, 41
1525, 39
1526, 37
1527, 38
1528, 37
1529, 36
1530, 36
1531, 35
1532, 35
1533, 35
1534, 35
1535, 34
1536, 33
1537, 33
1538, 32
1539, 31
1540, 31
1541, 31
1542, 31
1543, 30
1544, 29
1545, 29
1546, 28
1547, 29
1548, 28
1549, 27
1550, 25
1551, 24
1552, 23
1553, 23
1554, 22
1555, 22
1556, 22
1557, 20
1558, 21
1559, 21
1560, 22
1561, 20
1562, 21
1563, 21
1564, 22
1565, 22
1566, 22
1567, 23
1568, 22
1569, 21
1570, 22
1571, 22
1572, 21
1573, 21
1574, 22
1575, 21
1576, 22
1577, 21
1578, 21
1579, 21
1580, 21
1581, 20
1582, 20
1583, 18
1584, 19
1585, 19
1586, 18
1587, 17
1588, 17
1589, 17
1590, 17
1591, 17
1592, 19
1593, 18
1594, 18
1595, 18
1596, 19
1597, 19
1598, 19
1599, 19
1600, 19
1601, 19
1602, 19
1603, 19
1604, 19
1605, 19
1606, 20
1607, 20
1608, 19
1609, 20
1610, 20
1611, 19
1612, 19
1613, 19
1614, 17
1615, 17
1616, 18
1617, 18
1618, 17
1619, 17
1620, 17
1621, 16
1622, 16
1623, 16
1624, 17
1625, 17
1626, 17
1627, 17
1628, 19
1629, 18
1630, 19
1631, 18
1632, 19
1633, 19
1634, 19
1635, 18
1636, 18
1637, 19
1638, 19
1639, 19
1640, 19
1641, 19
1642, 18
1643, 18
1644, 18
1645, 19
1646, 17
1647, 17
1648, 17
1649, 17
1650, 16
1651, 16
1652, 17
1653, 16
1654, 16
1655, 16
1656, 17
1657, 17
1658, 16
1659, 16
1660, 18
1661, 18
1662, 18
1663, 17
1664, 19
1665, 19
1666, 18
1667, 18
1668, 17
1669, 19
1670, 19
1671, 18
1672, 20
1673, 18
1674, 19
1675, 18
1676, 19
1677, 19
1678, 17
1679, 17
1680, 17
1681, 17
1682, 16
1683, 16
1684, 16
1685, 16
1686, 16
1687, 16
1688, 17
1689, 17
1690, 16
1691, 17
1692, 18
1693, 18
1694, 18
1695, 18
1696, 19
1697, 19
1698, 18
1699, 19
1700, 18
1701, 19
1702, 19
1703, 19
1704, 19
1705, 19
1706, 19
1707, 19
1708, 19
1709, 18
1710, 18
1711, 17
1712, 18
1713, 17
1714, 17
1715, 17
1716, 16
1717, 16
1718, 17
1719, 16
1720, 17
1721, 17
1722, 17
1723, 17
1724, 18
1725, 17
1726, 18
1727, 18
1728, 18
1729, 19
1730, 18
1731, 19
1732, 18
1733, 19
1734, 18
1735, 19
1736, 19
1737, 19
1738, 19
1739, 19
1740, 19
1741, 18
1742, 18
1743, 17
1744, 18
1745, 17
1746, 17
1747, 16
1748, 16
1749, 17
1750, 16
1751, 16
1752, 17
1753, 17
1754, 17
1755, 17
1756, 18
1757, 18
1758, 18
1759, 18
1760, 19
1761, 19
1762, 18
1763, 18
1764, 19
1765, 18
1766, 19
1767, 19
1768, 20
1769, 19
1770, 18
1771, 19
1772, 19
1773, 18
1774, 17
1775, 17
1776, 18
1777, 17
1778, 17
1779, 16
1780, 16
1781, 16
1782, 16
1783, 17
1784, 17
1785, 17
1786, 17
1787, 17
1788, 18
1789, 18
1790, 18
1791, 18
1792, 18
1793, 19
1794, 19
1795, 19
1796, 18
1797, 19
1798, 19
1799, 19
1800, 19
1801, 19
1802, 19
1803, 18
1804, 19
1805, 19
1806, 18
1807, 17
1808, 17
1809, 17
1810, 17
1811, 17
1812, 16
1813, 16
1814, 17
1815, 17
1816, 17
1817, 17
1818, 17
1819, 18
1820, 18
1821, 18
1822, 18
1823, 18
1824, 19
1825, 19
1826, 19
1827, 19
1828, 18
1829, 18
1830, 19
1831, 20
1832, 19
1833, 19
1834, 19
1835, 19
1836, 19
1837, 18
1838, 18
1839, 16
1840, 17
1841, 17
1842, 17
1843, 16
1844, 16
1845, 16
1846, 16
1847, 17
1848, 16
1849, 17
1850, 16
1851, 17
1852, 18
1853, 18
1854, 18
1855, 18
1856, 19
