Servo Input, Measured T Pass
1350, 30
1351, 21
1352, 19
1353, 21
1354, 20
1355, 20
1356, 20
1357, 21
1358, 20
1359, 21
1360, 18
1361, 18
1362, 19
1363, 19
1364, 19
1365, 19
1366, 19
1367, 18
1368, 19
1369, 20
1370, 20
1371, 20
1372, 21
1373, 20
1374, 20
1375, 21
1376, 22
1377, 22
1378, 23
1379, 22
1380, 22
1381, 22
1382, 22
1383, 22
1384, 22
1385, 22
1386, 23
1387, 22
1388, 22
1389, 22
1390, 21
1391, 21
1392, 21
1393, 21
1394, 22
1395, 21
1396, 21
1397, 22
1398, 22
1399, 22
1400, 23
1401, 24
1402, 25
1403, 23
1404, 25
1405, 24
1406, 25
1407, 26
1408, 26
1409, 27
1410, 30
1411, 29
1412, 29
1413, 29
1414, 30
1415, 30
1416, 30
1417, 29
1418, 30
1419, 30
1420, 33
1421, 31
1422, 34
1423, 36
1424, 34
1425, 35
1426, 35
1427, 38
1428, 38
1429, 42
1430, 42
1431, 40
1432, 41
1433, 44
1434, 46
1435, 48
1436, 52
1437, 51
1438, 55
1439, 57
1440, 66
1441, 68
1442, 74
1443, 76
1444, 79
1445, 83
1446, 88
1447, 89
1448, 96
1449, 102
1450, 113
1451, 119
1452, 130
1453, 134
1454, 138
1484, 126
1485, 116
1486, 104
1487, 103
1488, 94
1489, 88
1490, 81
1491, 80
1492, 74
1493, 72
1494, 72
1495, 68
1496, 66
1497, 62
1498, 60
1499, 56
1500, 49
1501, 49
1502, 48
1503, 43
1504, 43
1505, 41
1506, 41
1507, 39
1508, 39
1509, 38
1510, 36
1511, 35
1512, 35
1513, 32
1514, 33
1515, 33
1516, 33
1517, 31
1518, 31
1519, 32
1520, 31
1521, 29
1522, 29
1523, 29
1524, 29
1525, 29
1526, 31
1527, 31
1528, 30
1529, 28
1530, 29
1531, 27
1532, 25
1533, 24
1534, 25
1535, 24
1536, 24
1537, 24
1538, 22
1539, 22
1540, 22
1541, 23
1542, 22
1543, 22
1544, 22
1545, 22
1546, 21
1547, 23
1548, 23
1549, 23
1550, 22
